	0
0	62.0
1	79.0
2	85.0
3	62.0
4	79.0
5	85.0
6	66.0
7	74.0
8	97.0
9	62.0
10	79.0
11	85.0
12	66.0
13	74.0
14	97.0
15	68.0
16	81.0
17	804.0
18	62.0
19	79.0
20	85.0
21	66.0
22	74.0
23	97.0
24	68.0
25	81.0
26	804.0
27	67.0
28	80.0
29	112.0
30	69.0
31	62.0
32	79.0
33	85.0
34	66.0
35	74.0
36	97.0
37	68.0
38	81.0
39	804.0
40	67.0
41	80.0
42	112.0
43	69.0
44	67.0
45	87.0
46	72.0
47	87.0
48	62.0
49	79.0
50	85.0
51	66.0
52	74.0
53	97.0
54	68.0
55	81.0
56	804.0
57	67.0
58	80.0
59	112.0
60	69.0
61	67.0
62	87.0
63	72.0
64	87.0
65	65.0
66	188.0
67	85.0
68	70.0
69	62.0
70	79.0
71	85.0
72	66.0
73	74.0
74	97.0
75	68.0
76	81.0
77	804.0
78	67.0
79	80.0
80	112.0
81	69.0
82	67.0
83	87.0
84	72.0
85	87.0
86	65.0
87	188.0
88	85.0
89	70.0
90	58.0
91	80.0
92	72.0
93	77.0
94	91.0
95	62.0
96	79.0
97	85.0
98	66.0
99	74.0
100	97.0
101	68.0
102	81.0
103	804.0
104	67.0
105	80.0
106	112.0
107	69.0
108	67.0
109	87.0
110	72.0
111	87.0
112	65.0
113	188.0
114	85.0
115	70.0
116	58.0
117	80.0
118	72.0
119	77.0
120	91.0
121	70.0
122	69.0
123	70.0
124	77.0
125	83.0
126	62.0
127	79.0
128	85.0
129	66.0
130	74.0
131	97.0
132	68.0
133	81.0
134	804.0
135	67.0
136	80.0
137	112.0
138	69.0
139	67.0
140	87.0
141	72.0
142	87.0
143	65.0
144	188.0
145	85.0
146	70.0
147	58.0
148	80.0
149	72.0
150	77.0
151	91.0
152	70.0
153	69.0
154	70.0
155	77.0
156	83.0
157	66.0
158	77.0
159	79.0
160	83.0
161	102.0
162	62.0
163	79.0
164	85.0
165	66.0
166	74.0
167	97.0
168	68.0
169	81.0
170	804.0
171	67.0
172	80.0
173	112.0
174	69.0
175	67.0
176	87.0
177	72.0
178	87.0
179	65.0
180	188.0
181	85.0
182	70.0
183	58.0
184	80.0
185	72.0
186	77.0
187	91.0
188	70.0
189	69.0
190	70.0
191	77.0
192	83.0
193	66.0
194	77.0
195	79.0
196	83.0
197	102.0
198	66.0
199	77.0
200	83.0
201	61.0
202	91.0
203	87.0
204	62.0
205	79.0
206	85.0
207	66.0
208	74.0
209	97.0
210	68.0
211	81.0
212	804.0
213	67.0
214	80.0
215	112.0
216	69.0
217	67.0
218	87.0
219	72.0
220	87.0
221	65.0
222	188.0
223	85.0
224	70.0
225	58.0
226	80.0
227	72.0
228	77.0
229	91.0
230	70.0
231	69.0
232	70.0
233	77.0
234	83.0
235	66.0
236	77.0
237	79.0
238	83.0
239	102.0
240	66.0
241	77.0
242	83.0
243	61.0
244	91.0
245	87.0
246	70.0
247	85.0
248	87.0
249	76.0
250	82.0
251	76.0
252	62.0
253	79.0
254	85.0
255	66.0
256	74.0
257	97.0
258	68.0
259	81.0
260	804.0
261	67.0
262	80.0
263	112.0
264	69.0
265	67.0
266	87.0
267	72.0
268	87.0
269	65.0
270	188.0
271	85.0
272	70.0
273	58.0
274	80.0
275	72.0
276	77.0
277	91.0
278	70.0
279	69.0
280	70.0
281	77.0
282	83.0
283	66.0
284	77.0
285	79.0
286	83.0
287	102.0
288	66.0
289	77.0
290	83.0
291	61.0
292	91.0
293	87.0
294	70.0
295	85.0
296	87.0
297	76.0
298	82.0
299	76.0
300	64.0
301	280.0
302	115.0
303	68.0
304	90.0
305	94.0
306	62.0
307	79.0
308	85.0
309	66.0
310	74.0
311	97.0
312	68.0
313	81.0
314	804.0
315	67.0
316	80.0
317	112.0
318	69.0
319	67.0
320	87.0
321	72.0
322	87.0
323	65.0
324	188.0
325	85.0
326	70.0
327	58.0
328	80.0
329	72.0
330	77.0
331	91.0
332	70.0
333	69.0
334	70.0
335	77.0
336	83.0
337	66.0
338	77.0
339	79.0
340	83.0
341	102.0
342	66.0
343	77.0
344	83.0
345	61.0
346	91.0
347	87.0
348	70.0
349	85.0
350	87.0
351	76.0
352	82.0
353	76.0
354	64.0
355	280.0
356	115.0
357	68.0
358	90.0
359	94.0
360	53.0
361	78.0
362	1087.0
363	79.0
364	79.0
365	94.0
366	72.0
367	62.0
368	79.0
369	85.0
370	66.0
371	74.0
372	97.0
373	68.0
374	81.0
375	804.0
376	67.0
377	80.0
378	112.0
379	69.0
380	67.0
381	87.0
382	72.0
383	87.0
384	65.0
385	188.0
386	85.0
387	70.0
388	58.0
389	80.0
390	72.0
391	77.0
392	91.0
393	70.0
394	69.0
395	70.0
396	77.0
397	83.0
398	66.0
399	77.0
400	79.0
401	83.0
402	102.0
403	66.0
404	77.0
405	83.0
406	61.0
407	91.0
408	87.0
409	70.0
410	85.0
411	87.0
412	76.0
413	82.0
414	76.0
415	64.0
416	280.0
417	115.0
418	68.0
419	90.0
420	94.0
421	53.0
422	78.0
423	1087.0
424	79.0
425	79.0
426	94.0
427	72.0
428	70.0
429	71.0
430	136.0
431	86.0
432	77.0
433	80.0
434	78.0
435	62.0
436	79.0
437	85.0
438	66.0
439	74.0
440	97.0
441	68.0
442	81.0
443	804.0
444	67.0
445	80.0
446	112.0
447	69.0
448	67.0
449	87.0
450	72.0
451	87.0
452	65.0
453	188.0
454	85.0
455	70.0
456	58.0
457	80.0
458	72.0
459	77.0
460	91.0
461	70.0
462	69.0
463	70.0
464	77.0
465	83.0
466	66.0
467	77.0
468	79.0
469	83.0
470	102.0
471	66.0
472	77.0
473	83.0
474	61.0
475	91.0
476	87.0
477	70.0
478	85.0
479	87.0
480	76.0
481	82.0
482	76.0
483	64.0
484	280.0
485	115.0
486	68.0
487	90.0
488	94.0
489	53.0
490	78.0
491	1087.0
492	79.0
493	79.0
494	94.0
495	72.0
496	70.0
497	71.0
498	136.0
499	86.0
500	77.0
501	80.0
502	78.0
503	67.0
504	70.0
505	203.0
506	98.0
507	90.0
508	75.0
509	89.0
510	62.0
511	79.0
512	85.0
513	66.0
514	74.0
515	97.0
516	68.0
517	81.0
518	804.0
519	67.0
520	80.0
521	112.0
522	69.0
523	67.0
524	87.0
525	72.0
526	87.0
527	65.0
528	188.0
529	85.0
530	70.0
531	58.0
532	80.0
533	72.0
534	77.0
535	91.0
536	70.0
537	69.0
538	70.0
539	77.0
540	83.0
541	66.0
542	77.0
543	79.0
544	83.0
545	102.0
546	66.0
547	77.0
548	83.0
549	61.0
550	91.0
551	87.0
552	70.0
553	85.0
554	87.0
555	76.0
556	82.0
557	76.0
558	64.0
559	280.0
560	115.0
561	68.0
562	90.0
563	94.0
564	53.0
565	78.0
566	1087.0
567	79.0
568	79.0
569	94.0
570	72.0
571	70.0
572	71.0
573	136.0
574	86.0
575	77.0
576	80.0
577	78.0
578	67.0
579	70.0
580	203.0
581	98.0
582	90.0
583	75.0
584	89.0
585	67.0
586	83.0
587	69.0
588	71.0
589	81.0
590	63.0
591	68.0
592	59.0
593	62.0
594	79.0
